Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
6,5,1080.0,1,1656,215000
5,6,882.0,1,896,105000
6,6,1329.0,1,1329,172000
7,5,2110.0,1,2110,244000
5,5,928.0,1,1629,189900
6,6,926.0,1,1604,195500
8,5,1338.0,1,1338,213500
8,5,1280.0,1,1280,191500
8,5,1595.0,1,1616,236500
7,5,994.0,1,1804,189000
6,5,763.0,1,1655,175900
6,7,1168.0,1,1187,185000
6,5,789.0,1,1465,180400
7,5,1300.0,1,1341,171500
8,5,1488.0,1,1502,212000
8,5,1650.0,1,3279,538000
8,7,559.0,1,1752,164000
9,2,1856.0,1,1856,394432
4,5,864.0,1,864,141000
6,6,1542.0,1,2073,210000
6,6,1844.0,1,1844,190000
7,6,1053.0,1,1173,170000
7,5,814.0,1,1674,216000
6,7,1004.0,1,1004,149000
5,6,1078.0,1,1078,149900
5,6,1056.0,1,1056,142000
4,5,882.0,1,882,126000
4,5,864.0,1,864,115000
7,5,1405.0,1,1337,184000
6,5,483.0,1,987,96000
5,5,525.0,1,1092,105500
6,5,525.0,1,1092,88000
6,5,1069.0,1,1069,127500
6,6,855.0,1,1456,149900
7,6,836.0,1,836,120000
6,5,855.0,1,1456,146000
9,5,1590.0,1,2334,376162
8,5,1704.0,1,1704,306000
9,5,1930.0,1,1940,395192
8,5,1544.0,1,1544,290941
7,5,1541.0,1,1541,220000
9,5,1698.0,1,1698,275000
8,5,1822.0,1,1822,259000
7,5,1517.0,1,1535,214000
9,5,2330.0,1,2364,611657
7,5,1358.0,1,1358,224000
9,5,2846.0,1,2696,500000
8,5,1671.0,1,2250,320000
9,5,1752.0,1,1752,319900
8,5,1370.0,1,1370,205000
7,5,764.0,1,1626,175500
6,5,1324.0,1,1324,199500
7,5,1145.0,1,1145,160000
8,5,1256.0,1,1269,192000
7,5,384.0,1,1374,184500
6,5,860.0,1,1960,216500
7,5,847.0,1,1733,185088
7,5,384.0,1,1430,180000
7,5,884.0,1,2035,222500
9,5,1393.0,1,2599,333168
8,5,1629.0,1,2475,355000
7,5,1720.0,1,1720,260400
8,5,1463.0,1,2622,325000
8,7,1152.0,1,2270,290000
7,5,1195.0,1,1839,221000
8,5,2033.0,1,3238,410000
8,5,1595.0,1,1595,221500
7,5,1218.0,1,1218,204500
7,5,756.0,1,1547,215200
8,5,1566.0,1,1566,262500
7,5,991.0,1,1947,254900
6,5,1468.0,1,1468,271500
7,5,956.0,1,2084,233000
7,5,831.0,1,1659,181000
7,5,948.0,1,2110,205000
6,5,923.0,1,923,143000
6,5,1055.0,1,1845,189000
6,5,918.0,1,918,99500
6,5,744.0,1,752,125000
7,7,996.0,1,1744,194500
6,5,1040.0,1,1097,152000
6,6,650.0,1,1564,171000
5,5,816.0,0,1012,67500
6,5,0.0,1,1902,112000
5,7,1109.0,1,1155,148000
5,8,894.0,1,894,138500
5,5,882.0,1,900,122000
5,5,1040.0,1,1040,133000
5,8,1040.0,1,1040,127000
6,6,1208.0,1,1494,169000
7,5,750.0,1,1923,190000
8,5,1231.0,1,2349,362500
8,5,1390.0,1,2225,285000
7,5,1488.0,1,1488,260000
7,5,840.0,1,1680,190000
7,5,600.0,1,1200,155000
7,5,600.0,1,1200,151000
7,5,600.0,1,1200,149500
6,5,600.0,1,1236,152000
7,5,1470.0,1,1478,222000
6,5,756.0,1,1573,177500
6,5,756.0,1,1512,177000
7,5,696.0,1,1416,155000
7,5,530.0,1,1080,147110
8,5,1642.0,1,1418,267916
8,5,975.0,1,1848,254000
8,5,728.0,1,788,155000
8,6,1226.0,1,1226,206000
6,8,725.0,1,1479,130500
7,5,1492.0,1,1492,230000
6,6,1829.0,1,1829,218500
6,5,1280.0,1,2495,243500
6,7,1610.0,1,1610,205000
6,5,1224.0,1,1891,212500
7,5,980.0,1,1714,196500
6,7,1161.0,1,1381,197500
6,6,715.0,1,1645,171000
5,5,1232.0,1,1232,142250
6,5,1328.0,1,1328,143000
4,5,950.0,1,1225,128950
5,5,1209.0,1,1209,159000
5,6,1510.0,1,1510,178900
6,5,533.0,1,1775,136300
5,7,1152.0,1,1152,180500
6,7,936.0,1,1054,137500
5,6,1728.0,1,1728,84900
5,6,1078.0,1,1078,142125
5,7,1140.0,1,2461,197600
6,6,782.0,1,1556,172500
